,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-06-03,-0.09520783065982995,-0.09546614630490324,-0.09716703331571672,0.018831551157495824,0.11077895730762992,0.0649976339173723
2018-06-04,-0.09527719800796532,-0.09552898449112289,-0.09723592377999611,0.018943604726997743,0.11163855098768968,0.06514791644125312
2018-06-05,-0.09533510162807768,-0.09558144134907179,-0.09729343004026052,0.019037067916187443,0.11235555369274625,0.06527327330788446
2018-06-06,-0.09538342508609005,-0.09562522125489097,-0.097341422290512,0.019115025297482977,0.11295361888821641,0.06537783700855446
2018-06-07,-0.09542374849151534,-0.09566175461226344,-0.09738146957215443,0.019180049948531498,0.11345247795055402,0.06546505642313111
2018-06-08,-0.09545739391452718,-0.09569223851264275,-0.0974148847756814,0.01923428786900206,0.11386858864079333,0.06553780900284975
2018-06-09,-0.09548546492251511,-0.09571767233394637,-0.09744276381273666,0.019279528602612176,0.11421567726799883,0.06559849411311523
2018-06-10,-0.09550888386812953,-0.0957388914804351,-0.09746602266884376,0.019317264803117885,0.1145051933052178,0.06564911340669227
2018-06-11,-0.09552842097845157,-0.09575659364035094,-0.09748542626964987,0.019348741434684968,0.11474668681162478,0.06569133654703889
2018-06-12,-0.09554471913422377,-0.09577136119019708,-0.0975016130771241,0.01937499687063302,0.11494812351505379,0.06572655617096901
2018-06-13,-0.0955583149872801,-0.09578368030628491,-0.09751511606141022,0.019396897220899968,0.11511614780584953,0.06575593395212936
2018-06-14,-0.09556965638885039,-0.09579395673442259,-0.09752638000490534,0.01941516490629449,0.11525630189526126,0.06578043887652593
2018-06-15,-0.0955791170326146,-0.09580252904619427,-0.09753577604265803,0.019430402501343185,0.11537320865862116,0.06580087919709594
2018-06-16,-0.09558700872399087,-0.09580967974924728,-0.09754361384681777,0.019443112622769553,0.11547072415533405,0.06581792910638673
2018-06-17,-0.09559359160464981,-0.09581564454653294,-0.09755015178017759,0.01945371451163078,0.11555206482427899,0.0658321509685582
2018-06-18,-0.09559908270177711,-0.09582062007983844,-0.09755560538644159,0.019462557865394758,0.11561991358458859,0.06584401386819949
2018-06-19,-0.09560366306821454,-0.09582477039762247,-0.0975601544812695,0.01946993437498951,0.11567650833568097,0.06585390908375828
2018-06-20,-0.09560748374014241,-0.09582823235203752,-0.09756394906901096,0.0194760873470982,0.11572371577423404,0.0658621629926207
2018-06-21,-0.0956106707107655,-0.09583112010485695,-0.09756711428227847,0.019481219730281926,0.11576309296709972,0.0658690478362582
2018-06-22,-0.09561332908095374,-0.09583352888791724,-0.09756975450415424,0.019485500809573605,0.11579593871048426,0.0658747906998137
2018-06-23,-0.09561554652236345,-0.09583553814076777,-0.09757195680760253,0.019489071790447763,0.115823336369628,0.06587958100207075
2018-06-24,-0.09561739616706226,-0.0958372141287936,-0.09757379382532622,0.019492050456513886,0.11584618961256152,0.06588357674314615
2018-06-25,-0.09561893901833084,-0.09583861212754438,-0.09757532614408577,0.019494535054582374,0.11586525221655766,0.06588690971587952
2018-06-26,-0.09562022596188609,-0.09583977824504725,-0.09757660430217495,0.019496607535272333,0.11588115293050162,0.0658896898527949
2018-06-27,-0.09562129944371574,-0.09584075094206301,-0.09757767045579095,0.019498336256085085,0.11589441621331101,0.06589200885204968
2018-06-28,-0.0956221948697435,-0.09584156230030857,-0.09757855976913817,0.019499778236104544,0.1159054795324559,0.06589394320194512
2018-06-29,-0.09562294177340981,-0.09584223908039702,-0.09757930157403386,0.019500981036702763,0.11591470779316486,0.06589555670376702
2018-06-30,-0.09562356478964201,-0.0958428036043517,-0.09757992033722662,0.019501984330289972,0.11592240537426066,0.06589690257616462
2018-07-01,-0.09562408446730672,-0.0958432744917726,-0.09758043646730108,0.019502821208853445,0.11592882616761606,0.06589802521047927
2018-07-02,-0.09562451794692223,-0.09584366727391569,-0.09758086698776244,0.01950351927544776,0.11593418195237089,0.06589896163491835
2018-07-03,-0.09562487952597254,-0.0958439949059284,-0.09758122609849082,0.01950410155464052,0.11593864938012327,0.06589974273586917
2018-07-04,-0.09562518113046346,-0.09584426819413126,-0.09758152564407789,0.01950458725194113,0.1159423758014946,0.06590039427663412
2018-07-05,-0.09562543270826673,-0.09584449615243135,-0.09758177550448553,0.019504992387264233,0.1159454841262469,0.06590093774719075
2018-07-06,-0.09562564255722432,-0.09584468629962123,-0.09758198392090991,0.019505330323321125,0.11594807687725828,0.06590139107300236
2018-07-07,-0.09562581759883276,-0.09584484490736797,-0.09758215776759782,0.019505612206367186,0.1159502395720696,0.06590176920625904
2018-07-08,-0.09562596360653393,-0.0958449772070703,-0.09758230277857843,0.019505847333842242,0.11595204354353875,0.0659020846190507
2018-07-09,-0.0956260853961384,-0.09584508756240354,-0.09758242373678716,0.019506043461032005,0.11595354829263516,0.0659023477147384
2018-07-10,-0.09562618698466731,-0.09584517961324866,-0.09758252463182292,0.019506207056862613,0.11595480345098057,0.06590256717109101
2018-07-11,-0.09562627172284423,-0.09584525639574484,-0.09758260879153549,0.019506343517267995,0.11595585041786455,0.06590275022650775
2018-07-12,-0.09562634240561357,-0.09584532044243162,-0.09758267899178966,0.019506457343165584,0.11595672372573071,0.06590290291876374
2018-07-13,-0.09562640136432671,-0.09584537386578049,-0.0975827375480218,0.019506552288911367,0.11595745217917186,0.06590303028415655
2018-07-14,-0.09562645054363664,-0.0958454184278697,-0.09758278639160968,0.019506631486131343,0.11595805980500061,0.06590313652361954
2018-07-15,-0.09562649156563979,-0.09584545559850444,-0.09758282713357659,0.019506697547012862,0.11595856664473383,0.0659032251412828
2018-07-16,-0.09562652578337781,-0.09584548660369546,-0.09758286111772763,0.019506752650462925,0.1159589894156286,0.06590329906005102
2018-07-17,-0.09562655432546485,-0.0958455124660964,-0.09758288946497241,0.01950679861397626,0.1159593420620722,0.06590336071801067
2018-07-18,-0.09562657813331371,-0.09584553403873519,-0.09758291311029721,0.019506836953582313,0.11595963621551493,0.06590341214884582
2018-07-19,-0.09562659799218613,-0.09584555203314887,-0.0975829328336033,0.019506868933848426,0.11595988157811395,0.06590345504891604
2018-07-20,-0.09562661455709365,-0.09584556704285302,-0.0975829492854307,0.019506895609589833,0.11596008624274204,0.06590349083320822
2018-07-21,-0.0956266283744017,-0.09584557956291719,-0.09758296300841504,0.01950691786066122,0.11596025695991799,0.0659035206820072
2018-07-22,-0.09562663989985122,-0.09584559000629492,-0.09758297445518621,0.0195069364209768,0.11596039936046097,0.06590354557982506
2018-07-23,-0.09562664951358969,-0.09584559871744347,-0.09758298400329664,0.019506951902717232,0.11596051814121366,0.0659035663478747
2018-07-24,-0.09562665753271,-0.09584560598368529,-0.09758299196767453,0.01950696481652179,0.11596061721995946,0.06590358367115533
2018-07-25,-0.09562666422170935,-0.09584561204468506,-0.09758299861101147,0.019506975588330668,0.11596069986464422,0.0659035981210463
2018-07-26,-0.09562666980121325,-0.09584561710035486,-0.09758300415242696,0.019506984573433788,0.1159607688011641,0.06590361017415279
2018-07-27,-0.09562667445525225,-0.09584562131744745,-0.09758300877469522,0.019506992068189618,0.11596082630327434,0.06590362022802639
2018-07-28,-0.09562667833733177,-0.09584562483505628,-0.09758301263027379,0.019506998319800215,0.1159608742675853,0.06590362861427736
2018-07-29,-0.09562668157549604,-0.09584562776920409,-0.09758301584633275,0.019507003534464412,0.11596091427611924,0.06590363560951187
2018-07-30,-0.09562668427655019,-0.09584563021666863,-0.09758301852894818,0.019507007884179212,0.11596094764849038,0.06590364144445605
2018-07-31,-0.09562668652958413,-0.09584563225817552,-0.09758302076660179,0.019507011512412447,0.11596097548543036,0.06590364631156569
2018-08-01,-0.09562668840891013,-0.09584563396106019,-0.09758302263309859,0.01950701453883546,0.11596099870509373,0.06590365037137431
2018-08-02,-0.09562668997651491,-0.09584563538148975,-0.09758302419000217,0.019507017063269627,0.1159610180733422,0.0659036537577878
